 INFO  Accepting connections at http://localhost:3001
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/bike.f0ed12c3d6f44feba1ee.png
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/l-running.615dd61bf940a54bd60a.png
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/l-tennis.8d3957bb2d6fe5fd44c8.png
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/padel.db9efbe33a5229546532.png
 HTTP  10/18/2025 1:04:38 AM ::1 GET /static/media/tennis.0f7f8a874257eca4ca64.png
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 1:04:38 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 2:06:54 AM ::1 GET /user/1
 HTTP  10/18/2025 2:06:54 AM ::1 Returned 200 in 40 ms
 HTTP  10/18/2025 2:06:54 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 2:06:54 AM ::1 GET /static/js/main.b43c21ee.js
 HTTP  10/18/2025 2:06:54 AM ::1 Returned 200 in 7 ms
 HTTP  10/18/2025 2:06:54 AM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 2:06:54 AM ::1 Returned 304 in 15 ms
 HTTP  10/18/2025 2:06:54 AM ::1 Returned 200 in 25 ms
 HTTP  10/18/2025 2:06:54 AM ::1 GET /static/css/main.0425fd25.css.map
 HTTP  10/18/2025 2:06:54 AM ::1 Returned 304 in 6 ms
 HTTP  10/18/2025 2:06:54 AM ::1 GET /static/js/main.b43c21ee.js.map
 HTTP  10/18/2025 2:06:54 AM ::1 Returned 200 in 6 ms
 HTTP  10/18/2025 2:06:54 AM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 2:06:54 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 2:06:55 AM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 2:06:55 AM ::1 GET /manifest.json
 HTTP  10/18/2025 2:06:55 AM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 2:06:55 AM ::1 Returned 304 in 20 ms
 HTTP  10/18/2025 2:06:55 AM ::1 GET /logo192.png
 HTTP  10/18/2025 2:06:55 AM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 5:48:51 PM ::1 GET /static/media/matchleague_logo_4x4.5703e6151d94c6c3fdfa.png
 HTTP  10/18/2025 5:48:51 PM ::1 Returned 304 in 88 ms
 HTTP  10/18/2025 5:49:07 PM ::1 GET /user/1
 HTTP  10/18/2025 5:49:07 PM ::1 Returned 200 in 20 ms
 HTTP  10/18/2025 5:49:07 PM ::1 GET /static/js/main.1b2b1f77.js
 HTTP  10/18/2025 5:49:07 PM ::1 Returned 200 in 25 ms
 HTTP  10/18/2025 5:49:07 PM ::1 GET /static/css/main.0425fd25.css
 HTTP  10/18/2025 5:49:07 PM ::1 Returned 304 in 6 ms
 HTTP  10/18/2025 5:49:07 PM ::1 GET /static/css/main.0425fd25.css.map
 HTTP  10/18/2025 5:49:07 PM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 5:49:08 PM ::1 GET /static/media/matchleague_logo.3542f21af08ad47a638c.png
 HTTP  10/18/2025 5:49:08 PM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 5:49:08 PM ::1 GET /static/js/main.1b2b1f77.js.map
 HTTP  10/18/2025 5:49:08 PM ::1 Returned 200 in 17 ms
 HTTP  10/18/2025 5:49:08 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 5:49:08 PM ::1 Returned 200 in 4 ms
 HTTP  10/18/2025 5:49:08 PM ::1 GET /static/media/MatchLeague2.2a350611fca568e2537f.png
 HTTP  10/18/2025 5:49:08 PM ::1 Returned 304 in 48 ms
 HTTP  10/18/2025 5:49:08 PM ::1 GET /manifest.json
 HTTP  10/18/2025 5:49:08 PM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 5:49:08 PM ::1 GET /logo192.png
 HTTP  10/18/2025 5:49:08 PM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 6:18:09 PM ::1 GET /user/1
 HTTP  10/18/2025 6:18:09 PM ::1 Returned 404 in 35 ms
 HTTP  10/18/2025 6:18:09 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 6:18:09 PM ::1 Returned 404 in 2 ms
 HTTP  10/18/2025 6:18:10 PM ::1 GET /favicon.ico
 HTTP  10/18/2025 6:18:10 PM ::1 Returned 200 in 17 ms
 HTTP  10/18/2025 6:44:06 PM ::1 GET /user/1
 HTTP  10/18/2025 6:44:06 PM ::1 Returned 404 in 56 ms
 HTTP  10/18/2025 6:44:07 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 6:44:07 PM ::1 Returned 404 in 5 ms
 HTTP  10/18/2025 6:44:07 PM ::1 GET /favicon.ico
 HTTP  10/18/2025 6:44:07 PM ::1 Returned 304 in 4 ms
 HTTP  10/18/2025 6:48:03 PM ::1 GET /user/1
 HTTP  10/18/2025 6:48:03 PM ::1 Returned 404 in 25 ms
 HTTP  10/18/2025 6:48:03 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 6:48:03 PM ::1 Returned 404 in 2 ms
 HTTP  10/18/2025 6:48:03 PM ::1 GET /favicon.ico
 HTTP  10/18/2025 6:48:03 PM ::1 Returned 304 in 3 ms
 HTTP  10/18/2025 6:49:16 PM ::1 GET /user/1
 HTTP  10/18/2025 6:49:16 PM ::1 Returned 404 in 5 ms
 HTTP  10/18/2025 6:49:16 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 6:49:16 PM ::1 Returned 404 in 3 ms
 HTTP  10/18/2025 6:49:16 PM ::1 GET /favicon.ico
 HTTP  10/18/2025 6:49:16 PM ::1 Returned 304 in 1 ms
 HTTP  10/18/2025 6:49:19 PM ::1 GET /user/1
 HTTP  10/18/2025 6:49:19 PM ::1 Returned 404 in 12 ms
 HTTP  10/18/2025 6:49:19 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  10/18/2025 6:49:19 PM ::1 Returned 404 in 7 ms
 HTTP  10/18/2025 6:49:19 PM ::1 GET /favicon.ico
 HTTP  10/18/2025 6:49:19 PM ::1 Returned 304 in 2 ms
 HTTP  10/18/2025 6:49:19 PM ::1 GET /user/1
 HTTP  10/18/2025 6:49:19 PM ::1 Returned 404 in 22 ms
